n_iter =  2400
dt =    0.020833
Level      ,         1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25
P [mbar]   ,  0.050000,  0.100397,  0.101496,  0.103442,  0.106894,  0.113018,  0.123874,  0.143196,  0.173967,  0.222622,  0.302786,  0.434943,  0.652861,  1.012068,  1.604436,  2.464588,  3.460619,  4.399371,  5.222609,  5.842584,  6.213227,  6.398020,  6.468640,  6.503950,  6.516790
Temp [K]   ,   75.4485,   81.7596,   81.8756,   82.0794,   82.4359,   83.0534,   84.1054,   85.8614,   88.4110,   91.9865,   97.0549,  104.0361,  113.4445,  125.9640,  142.5915,  162.3892,  181.9997,  198.6012,  212.1711,  221.9387,  227.6267,  230.4250,  231.4883,  232.0186,  232.2113
===============================
it  ,   tau    ,  Tsfc    ,   alb    ,   OLR    ,  dn VIS  , up  VIS  ,    ASR   , NET top  , NET bot  ,  lev   01,  lev   02,  lev   03,  lev   04,  lev   05,  lev   06,  lev   07,  lev   08,  lev   09,  lev   10,  lev   11,  lev   12,  lev   13,  lev   14,  lev   15,  lev   16,  lev   17,  lev   18,  lev   19,  lev   20,  lev   21,  lev   22,  lev   23,  lev   24,  lev   25
 690,    0.0000,  219.6975,    0.2194,  118.7088,  148.3944,   32.5547,  115.8397,   -2.4977,   -2.3479,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1162,  164.5069,  172.6747,  181.4643,  191.0771,  199.6470,  205.4348,  208.6960,  210.2982,  210.9295,  211.2529,  211.3711
 691,    0.0000,  219.6935,    0.2194,  118.7090,  148.3944,   32.5547,  115.8397,   -2.4979,   -2.3482,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1164,  164.5068,  172.6735,  181.4610,  191.0723,  199.6419,  205.4289,  208.6911,  210.2937,  210.9239,  211.2469,  211.3652
 692,    0.0000,  219.6895,    0.2194,  118.7092,  148.3944,   32.5547,  115.8397,   -2.4981,   -2.3485,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1167,  164.5067,  172.6723,  181.4577,  191.0671,  199.6366,  205.4233,  208.6858,  210.2882,  210.9184,  211.2413,  211.3595
 693,    0.0000,  219.6855,    0.2194,  118.7094,  148.3944,   32.5547,  115.8397,   -2.4983,   -2.3488,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1169,  164.5066,  172.6710,  181.4544,  191.0620,  199.6312,  205.4177,  208.6804,  210.2826,  210.9128,  211.2357,  211.3539
 694,    0.0000,  219.6815,    0.2194,  118.7097,  148.3944,   32.5547,  115.8397,   -2.4985,   -2.3491,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1171,  164.5064,  172.6698,  181.4512,  191.0569,  199.6259,  205.4122,  208.6750,  210.2770,  210.9072,  211.2301,  211.3483
 695,    0.0000,  219.6775,    0.2194,  118.7099,  148.3944,   32.5547,  115.8397,   -2.4987,   -2.3494,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1174,  164.5063,  172.6686,  181.4479,  191.0518,  199.6206,  205.4067,  208.6695,  210.2714,  210.9016,  211.2244,  211.3427
 696,    0.0000,  219.6735,    0.2194,  118.7099,  148.3944,   32.5547,  115.8396,   -2.4988,   -2.3542,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1176,  164.5062,  172.6673,  181.4446,  191.0467,  199.6153,  205.4012,  208.6639,  210.2658,  210.8959,  211.2188,  211.3370
 697,    0.0000,  219.6695,    0.2194,  118.7088,  148.3944,   32.5547,  115.8396,   -2.4977,   -2.3574,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1178,  164.5061,  172.6661,  181.4413,  191.0417,  199.6100,  205.3957,  208.6579,  210.2598,  210.8909,  211.2136,  211.3316
 698,    0.0000,  219.6655,    0.2194,  118.7090,  148.3944,   32.5547,  115.8396,   -2.4979,   -2.3577,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1180,  164.5060,  172.6649,  181.4380,  191.0367,  199.6046,  205.3915,  208.6518,  210.2546,  210.8854,  211.2081,  211.3261
 699,    0.0000,  219.6615,    0.2194,  118.7074,  148.3944,   32.5547,  115.8396,   -2.4963,   -2.3598,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1183,  164.5059,  172.6637,  181.4347,  191.0317,  199.5993,  205.3867,  208.6461,  210.2494,  210.8800,  211.2027,  211.3207
 700,    0.0000,  219.6575,    0.2194,  118.7075,  148.3944,   32.5547,  115.8396,   -2.4964,   -2.3654,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1185,  164.5058,  172.6624,  181.4313,  191.0267,  199.5947,  205.3816,  208.6404,  210.2440,  210.8748,  211.1975,  211.3154
 701,    0.0000,  219.6535,    0.2194,  118.7077,  148.3944,   32.5548,  115.8396,   -2.4966,   -2.3657,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1187,  164.5057,  172.6611,  181.4279,  191.0218,  199.5898,  205.3765,  208.6348,  210.2384,  210.8695,  211.1927,  211.3103
 702,    0.0000,  219.6495,    0.2194,  118.7079,  148.3944,   32.5548,  115.8396,   -2.4968,   -2.3660,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1189,  164.5056,  172.6599,  181.4246,  191.0171,  199.5850,  205.3715,  208.6293,  210.2331,  210.8642,  211.1875,  211.3051
 703,    0.0000,  219.6455,    0.2194,  118.7081,  148.3944,   32.5548,  115.8396,   -2.4970,   -2.3713,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1192,  164.5055,  172.6586,  181.4212,  191.0124,  199.5801,  205.3664,  208.6240,  210.2279,  210.8590,  211.1822,  211.2999
 704,    0.0000,  219.6415,    0.2194,  118.7083,  148.3944,   32.5548,  115.8396,   -2.4972,   -2.3716,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1194,  164.5053,  172.6574,  181.4178,  191.0077,  199.5751,  205.3614,  208.6188,  210.2226,  210.8537,  211.1769,  211.2948
 705,    0.0000,  219.6374,    0.2194,  118.7085,  148.3944,   32.5548,  115.8396,   -2.4974,   -2.3718,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1196,  164.5052,  172.6562,  181.4144,  191.0031,  199.5703,  205.3563,  208.6135,  210.2174,  210.8485,  211.1718,  211.2897
 706,    0.0000,  219.6334,    0.2194,  118.7066,  148.3944,   32.5548,  115.8396,   -2.4956,   -2.3731,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1198,  164.5051,  172.6549,  181.4110,  190.9984,  199.5654,  205.3513,  208.6084,  210.2123,  210.8434,  211.1666,  211.2845
 707,    0.0000,  219.6294,    0.2194,  118.7068,  148.3944,   32.5548,  115.8396,   -2.4958,   -2.3734,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1200,  164.5050,  172.6536,  181.4075,  190.9942,  199.5606,  205.3463,  208.6032,  210.2070,  210.8382,  211.1614,  211.2795
 708,    0.0000,  219.6254,    0.2194,  118.7063,  148.3944,   32.5548,  115.8396,   -2.4952,   -2.3773,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1203,  164.5049,  172.6523,  181.4039,  190.9897,  199.5559,  205.3413,  208.5980,  210.2019,  210.8331,  211.1563,  211.2744
 709,    0.0000,  219.6213,    0.2194,  118.7061,  148.3944,   32.5548,  115.8396,   -2.4951,   -2.3816,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1205,  164.5047,  172.6510,  181.4003,  190.9852,  199.5511,  205.3361,  208.5957,  210.1972,  210.8282,  211.1514,  211.2694
 710,    0.0000,  219.6173,    0.2194,  118.7044,  148.3944,   32.5548,  115.8396,   -2.4933,   -2.3823,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1207,  164.5046,  172.6497,  181.3967,  190.9806,  199.5463,  205.3309,  208.5922,  210.1940,  210.8238,  211.1469,  211.2648
 711,    0.0000,  219.6132,    0.2194,  118.7046,  148.3944,   32.5548,  115.8396,   -2.4935,   -2.3826,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1209,  164.5044,  172.6482,  181.3939,  190.9762,  199.5416,  205.3258,  208.5880,  210.1893,  210.8190,  211.1421,  211.2600
 712,    0.0000,  219.6092,    0.2194,  118.7048,  148.3944,   32.5548,  115.8396,   -2.4937,   -2.3828,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1211,  164.5042,  172.6467,  181.3911,  190.9719,  199.5369,  205.3209,  208.5836,  210.1845,  210.8141,  211.1372,  211.2551
 713,    0.0000,  219.6052,    0.2194,  118.7049,  148.3944,   32.5548,  115.8396,   -2.4939,   -2.3831,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1213,  164.5040,  172.6452,  181.3883,  190.9675,  199.5323,  205.3161,  208.5789,  210.1797,  210.8093,  211.1324,  211.2503
 714,    0.0000,  219.6011,    0.2194,  118.7051,  148.3944,   32.5548,  115.8396,   -2.4941,   -2.3834,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1215,  164.5038,  172.6437,  181.3855,  190.9631,  199.5277,  205.3113,  208.5742,  210.1749,  210.8044,  211.1275,  211.2454
 715,    0.0000,  219.5971,    0.2194,  118.5038,  148.3944,   32.5548,  115.8396,   -2.2927,   -2.1530,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1216,  164.5036,  172.6422,  181.3827,  190.9587,  199.5231,  205.3066,  208.5695,  210.1700,  210.7996,  211.1227,  211.2405
 716,    0.0000,  219.5934,    0.2194,  118.5040,  148.3944,   32.5548,  115.8396,   -2.2929,   -2.1533,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1218,  164.5034,  172.6407,  181.3798,  190.9543,  199.5184,  205.3014,  208.5631,  210.1637,  210.7943,  211.1168,  211.2348
 717,    0.0000,  219.5898,    0.2194,  118.5029,  148.3944,   32.5548,  115.8396,   -2.2918,   -2.1564,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1220,  164.5032,  172.6392,  181.3769,  190.9493,  199.5134,  205.2962,  208.5571,  210.1580,  210.7888,  211.1113,  211.2294
 718,    0.0000,  219.5861,    0.2194,  118.5031,  148.3944,   32.5548,  115.8396,   -2.2920,   -2.1567,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1222,  164.5030,  172.6376,  181.3740,  190.9444,  199.5082,  205.2923,  208.5510,  210.1530,  210.7835,  211.1060,  211.2240
 719,    0.0000,  219.5824,    0.2194,  118.5032,  148.3944,   32.5548,  115.8396,   -2.2922,   -2.1570,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1224,  164.5028,  172.6361,  181.3711,  190.9395,  199.5030,  205.2877,  208.5455,  210.1480,  210.7783,  211.1008,  211.2187
 720,    0.0000,  219.5788,    0.2194,  118.5015,  148.3944,   32.5548,  115.8396,   -2.2905,   -2.1644,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1226,  164.5026,  172.6346,  181.3682,  190.9346,  199.4979,  205.2827,  208.5401,  210.1428,  210.7730,  211.0955,  211.2134
 721,    0.0000,  219.5751,    0.2194,  118.5017,  148.3944,   32.5548,  115.8396,   -2.2907,   -2.1647,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1227,  164.5024,  172.6330,  181.3652,  190.9297,  199.4935,  205.2776,  208.5345,  210.1373,  210.7678,  211.0909,  211.2084
 722,    0.0000,  219.5714,    0.2194,  118.5019,  148.3944,   32.5548,  115.8396,   -2.2909,   -2.1649,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1229,  164.5022,  172.6315,  181.3623,  190.9251,  199.4888,  205.2727,  208.5292,  210.1321,  210.7628,  211.0858,  211.2033
 723,    0.0000,  219.5678,    0.2194,  118.5021,  148.3944,   32.5548,  115.8396,   -2.2911,   -2.1702,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1231,  164.5019,  172.6300,  181.3593,  190.9205,  199.4841,  205.2678,  208.5239,  210.1269,  210.7577,  211.0807,  211.1982
 724,    0.0000,  219.5641,    0.2194,  118.5023,  148.3944,   32.5548,  115.8396,   -2.2913,   -2.1705,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1233,  164.5017,  172.6284,  181.3563,  190.9159,  199.4793,  205.2628,  208.5187,  210.1218,  210.7525,  211.0755,  211.1933
 725,    0.0000,  219.5604,    0.2194,  118.5025,  148.3944,   32.5548,  115.8396,   -2.2914,   -2.1708,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1235,  164.5015,  172.6269,  181.3533,  190.9114,  199.4746,  205.2579,  208.5136,  210.1167,  210.7474,  211.0705,  211.1883
 726,    0.0000,  219.5567,    0.2194,  118.5027,  148.3944,   32.5548,  115.8395,   -2.2916,   -2.1711,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1236,  164.5013,  172.6253,  181.3503,  190.9069,  199.4699,  205.2531,  208.5086,  210.1117,  210.7424,  211.0655,  211.1833
 727,    0.0000,  219.5530,    0.2194,  118.5028,  148.3944,   32.5548,  115.8395,   -2.2918,   -2.1713,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1238,  164.5011,  172.6238,  181.3474,  190.9024,  199.4651,  205.2482,  208.5036,  210.1067,  210.7374,  211.0604,  211.1783
 728,    0.0000,  219.5493,    0.2194,  118.5003,  148.3944,   32.5548,  115.8395,   -2.2893,   -2.1762,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1240,  164.5009,  172.6223,  181.3444,  190.8978,  199.4604,  205.2433,  208.4986,  210.1017,  210.7324,  211.0554,  211.1733
 729,    0.0000,  219.5457,    0.2194,  118.5001,  148.3944,   32.5548,  115.8395,   -2.2891,   -2.1805,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1242,  164.5006,  172.6206,  181.3412,  190.8937,  199.4556,  205.2381,  208.4964,  210.0970,  210.7275,  211.0505,  211.1684
 730,    0.0000,  219.5420,    0.2194,  118.5003,  148.3944,   32.5548,  115.8395,   -2.2893,   -2.1808,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1243,  164.5004,  172.6190,  181.3380,  190.8893,  199.4510,  205.2330,  208.4929,  210.0938,  210.7232,  211.0461,  211.1639
 731,    0.0000,  219.5383,    0.2194,  118.5005,  148.3944,   32.5549,  115.8395,   -2.2895,   -2.1810,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1245,  164.5002,  172.6174,  181.3348,  190.8852,  199.4465,  205.2281,  208.4888,  210.0893,  210.7185,  211.0415,  211.1593
 732,    0.0000,  219.5346,    0.2194,  118.4992,  148.3944,   32.5549,  115.8395,   -2.2882,   -2.1813,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1247,  164.4999,  172.6158,  181.3316,  190.8810,  199.4421,  205.2234,  208.4845,  210.0846,  210.7139,  211.0368,  211.1546
 733,    0.0000,  219.5309,    0.2194,  118.5009,  148.3944,   32.5549,  115.8395,   -2.2899,   -2.1815,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1246,  164.5004,  172.6141,  181.3284,  190.8768,  199.4377,  205.2187,  208.4800,  210.0800,  210.7092,  211.0322,  211.1500
 734,    0.0000,  219.5271,    0.2194,  118.5010,  148.3944,   32.5549,  115.8395,   -2.2901,   -2.1818,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1247,  164.5001,  172.6125,  181.3253,  190.8726,  199.4333,  205.2142,  208.4755,  210.0754,  210.7046,  211.0275,  211.1453
 735,    0.0000,  219.5234,    0.2194,  118.4996,  148.3944,   32.5549,  115.8395,   -2.2887,   -2.1866,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1249,  164.4999,  172.6109,  181.3221,  190.8684,  199.4289,  205.2096,  208.4709,  210.0707,  210.7000,  211.0229,  211.1407
 736,    0.0000,  219.5197,    0.2194,  118.5013,  148.3944,   32.5549,  115.8395,   -2.2903,   -2.1868,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1248,  164.5004,  172.6091,  181.3189,  190.8642,  199.4245,  205.2051,  208.4659,  210.0657,  210.6959,  211.0186,  211.1362
 737,    0.0000,  219.5160,    0.2194,  118.5014,  148.3944,   32.5549,  115.8395,   -2.2905,   -2.1871,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1249,  164.5001,  172.6075,  181.3157,  190.8601,  199.4202,  205.2005,  208.4611,  210.0610,  210.6912,  211.0139,  211.1316
 738,    0.0000,  219.5123,    0.2194,  118.4989,  148.3944,   32.5549,  115.8395,   -2.2879,   -2.1902,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1251,  164.4999,  172.6059,  181.3125,  190.8560,  199.4159,  205.1961,  208.4564,  210.0563,  210.6866,  211.0093,  211.1270
 739,    0.0000,  219.5086,    0.2194,  118.5005,  148.3944,   32.5549,  115.8395,   -2.2895,   -2.1904,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1250,  164.5004,  172.6042,  181.3093,  190.8518,  199.4114,  205.1929,  208.4513,  210.0522,  210.6822,  211.0049,  211.1225
 740,    0.0000,  219.5049,    0.2194,  118.5007,  148.3944,   32.5549,  115.8395,   -2.2897,   -2.1906,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1252,  164.5001,  172.6026,  181.3061,  190.8477,  199.4070,  205.1890,  208.4467,  210.0480,  210.6777,  211.0004,  211.1180
 741,    0.0000,  219.5012,    0.2194,  118.4993,  148.3944,   32.5549,  115.8395,   -2.2884,   -2.1962,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1253,  164.4999,  172.6010,  181.3029,  190.8436,  199.4027,  205.1849,  208.4423,  210.0437,  210.6733,  210.9960,  211.1136
 742,    0.0000,  219.4974,    0.2194,  118.2943,  148.3944,   32.5549,  115.8395,   -2.0833,   -1.9640,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1252,  164.5004,  172.5993,  181.2997,  190.8396,  199.3984,  205.1806,  208.4378,  210.0391,  210.6687,  210.9920,  211.1093
 743,    0.0000,  219.4941,    0.2194,  118.2930,  148.3944,   32.5549,  115.8395,   -2.0821,   -1.9643,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1253,  164.4998,  172.5981,  181.2969,  190.8354,  199.3946,  205.1758,  208.4318,  210.0334,  210.6635,  210.9863,  211.1039
 744,    0.0000,  219.4908,    0.2194,  118.2932,  148.3944,   32.5549,  115.8395,   -2.0822,   -1.9696,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1250,  164.5000,  172.5968,  181.2941,  190.8308,  199.3902,  205.1711,  208.4264,  210.0282,  210.6586,  210.9814,  211.0989
 745,    0.0000,  219.4874,    0.2194,  118.2948,  148.3944,   32.5549,  115.8395,   -2.0839,   -1.9698,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1248,  164.5001,  172.5954,  181.2914,  190.8262,  199.3856,  205.1664,  208.4211,  210.0232,  210.6535,  210.9764,  211.0941
 746,    0.0000,  219.4841,    0.2194,  118.2936,  148.3944,   32.5549,  115.8395,   -2.0826,   -1.9701,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1248,  164.4996,  172.5942,  181.2886,  190.8218,  199.3810,  205.1617,  208.4160,  210.0182,  210.6486,  210.9715,  211.0892
 747,    0.0000,  219.4807,    0.2194,  118.2937,  148.3944,   32.5549,  115.8395,   -2.0828,   -1.9704,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1246,  164.4997,  172.5929,  181.2858,  190.8174,  199.3764,  205.1569,  208.4111,  210.0133,  210.6437,  210.9665,  211.0843
 748,    0.0000,  219.4774,    0.2194,  118.2939,  148.3944,   32.5549,  115.8395,   -2.0830,   -1.9706,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1243,  164.4999,  172.5916,  181.2831,  190.8129,  199.3718,  205.1522,  208.4061,  210.0084,  210.6388,  210.9616,  211.0794
 749,    0.0000,  219.4741,    0.2194,  118.2956,  148.3944,   32.5549,  115.8395,   -2.0846,   -1.9709,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1241,  164.5000,  172.5903,  181.2803,  190.8085,  199.3671,  205.1474,  208.4012,  210.0035,  210.6339,  210.9567,  211.0745
 750,    0.0000,  219.4707,    0.2194,  118.2932,  148.3944,   32.5549,  115.8395,   -2.0823,   -1.9789,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1242,  164.4995,  172.5891,  181.2776,  190.8041,  199.3625,  205.1426,  208.3964,  209.9986,  210.6290,  210.9518,  211.0695
 751,    0.0000,  219.4674,    0.2194,  118.2914,  148.3944,   32.5549,  115.8395,   -2.0805,   -1.9801,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1239,  164.4996,  172.5878,  181.2748,  190.7996,  199.3577,  205.1374,  208.3941,  209.9953,  210.6245,  210.9473,  211.0649
 752,    0.0000,  219.4640,    0.2194,  118.2916,  148.3944,   32.5549,  115.8395,   -2.0806,   -1.9803,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  158.1237,  164.4998,  172.5864,  181.2718,  190.7957,  199.3532,  205.1324,  208.3908,  209.9910,  210.6200,  210.9427,  211.0604
